STATION,DATE,SOURCE,BackupDirection,HourlyDewPointTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyRelativeHumidity,HourlyWindSpeed
72423093821,2020-01-01T00:56:00,7,SE,28,0,-0.01,65,9
72423093821,2020-01-01T01:00:00,4,SE,28,,0.01,65,9
72423093821,2020-01-01T01:56:00,7,SE,28,0,,65,9
72423093821,2020-01-01T02:56:00,7,SE,28,0,,65,9
72423093821,2020-01-01T03:56:00,7,SE,29,0,-0.01,67,6
72423093821,2020-01-01T04:00:00,4,SE,29,,-0.01,67,6
72423093821,2020-01-01T04:56:00,7,SE,29,0,,67,6
72423093821,2020-01-01T05:56:00,7,SE,28,0,,68,5
72423093821,2020-01-01T06:56:00,7,SE,28,0,-0.01,73,6
72423093821,2020-01-01T07:00:00,4,SE,28,,-0.01,73,6
72423093821,2020-01-01T07:56:00,7,SE,28,0,,70,5
72423093821,2020-01-01T08:56:00,7,SE,29,0,,70,8
72423093821,2020-01-01T09:56:00,7,SE,30,0,-0.03,65,9
72423093821,2020-01-01T10:00:00,4,SE,30,,-0.03,65,9
72423093821,2020-01-01T10:56:00,7,SE,29,0,,55,14
72423093821,2020-01-01T11:56:00,7,SE,27,0,,47,10
72423093821,2020-01-01T12:56:00,7,SE,23,0,0.06,37,11
72423093821,2020-01-01T13:00:00,4,SE,23,,0.06,37,11
72423093821,2020-01-01T13:56:00,7,SE,22,0,,33,14
72423093821,2020-01-01T14:56:00,7,SE,20,0,,30,13
72423093821,2020-01-01T15:56:00,7,SE,20,0,0.04,30,11
72423093821,2020-01-01T16:00:00,4,SE,20,,0.04,30,11
72423093821,2020-01-01T16:56:00,7,SE,21,0,,33,9
72423093821,2020-01-01T17:56:00,7,SE,22,0,,37,8
72423093821,2020-01-01T18:56:00,7,SE,22,0,0.02,37,10
72423093821,2020-01-01T19:00:00,4,SE,22,,0.02,37,10
72423093821,2020-01-01T19:56:00,7,SE,23,0,,42,10
72423093821,2020-01-01T20:56:00,7,SE,23,0,,42,9
72423093821,2020-01-01T21:56:00,7,SE,24,0,0.01,45,9
72423093821,2020-01-01T22:00:00,4,SE,24,,0.01,45,9
72423093821,2020-01-01T22:56:00,7,SE,24,0,,45,8
72423093821,2020-01-01T23:56:00,7,SE,23,0,,43,9
72423093821,2020-01-01T23:59:00,6,SE,,,,,
72423093821,2020-01-02T00:56:00,7,SE,23,0,0.03,42,11
72423093821,2020-01-02T01:00:00,4,SE,23,,0.03,42,11
72423093821,2020-01-02T01:56:00,7,SE,24,0,,42,14
72423093821,2020-01-02T02:56:00,7,SE,24,0,,44,10
72423093821,2020-01-02T03:56:00,7,SE,25,0,0.01,46,10
72423093821,2020-01-02T04:00:00,4,SE,25,,0.01,46,10
72423093821,2020-01-02T04:56:00,7,SE,26,0,,48,13
72423093821,2020-01-02T05:56:00,7,SE,26,0,,48,9
72423093821,2020-01-02T06:56:00,7,SE,27,0,0.02,47,10
72423093821,2020-01-02T07:00:00,4,SE,27,,0.02,47,10
72423093821,2020-01-02T07:13:00,7,SE,27,,,47,10
72423093821,2020-01-02T07:56:00,7,SE,28,0,,48,9
72423093821,2020-01-02T08:56:00,7,SE,29,0,,48,9
72423093821,2020-01-02T09:22:00,7,SE,29,,,46,9
72423093821,2020-01-02T09:47:00,7,SE,30,,,46,10
72423093821,2020-01-02T09:56:00,7,SE,30,0,-0.02,46,9
72423093821,2020-01-02T10:00:00,4,SE,30,,-0.02,46,9
72423093821,2020-01-02T10:56:00,7,SE,33,0,,49,6
72423093821,2020-01-02T11:56:00,7,SE,41,0.01,,74,13
72423093821,2020-01-02T12:52:00,7,SE,43,T,,76,14
72423093821,2020-01-02T12:56:00,7,SE,44,T,0.05,80,11
72423093821,2020-01-02T13:00:00,4,SE,44,,0.05,80,11
72423093821,2020-01-02T13:35:00,7,SE,45,0.01,,89,10
72423093821,2020-01-02T13:39:00,7,SE,45,0.02,,89,9
72423093821,2020-01-02T13:46:00,7,SE,45,0.02,,89,8
72423093821,2020-01-02T13:53:00,7,SE,45,0.03,,87,9
72423093821,2020-01-02T13:56:00,7,SE,45,0.04,,89,9
72423093821,2020-01-02T14:19:00,7,SE,45,0.03,,89,6
72423093821,2020-01-02T14:37:00,7,SE,45,0.06,,89,7
72423093821,2020-01-02T14:48:00,7,SE,46,0.07,,90,7
72423093821,2020-01-02T14:56:00,7,SE,46,0.08,,90,7
72423093821,2020-01-02T14:59:00,7,SE,46,0.01,,90,7
72423093821,2020-01-02T15:56:00,7,SE,46,0.01,0.02,86,9
72423093821,2020-01-02T16:00:00,4,SE,46,,0.02,86,9
72423093821,2020-01-02T16:56:00,7,SE,48,0.04,,93,3
72423093821,2020-01-02T17:56:00,7,SE,47,0.01,,89,3
72423093821,2020-01-02T18:56:00,7,SE,47,0,0.02,89,6
72423093821,2020-01-02T19:00:00,4,SE,47,,0.02,89,6
72423093821,2020-01-02T19:56:00,7,SE,48,T,,89,0
72423093821,2020-01-02T20:56:00,7,SE,48,0.01,,89,0
72423093821,2020-01-02T21:56:00,7,SE,49,0.01,0.01,89,6
72423093821,2020-01-02T22:00:00,4,SE,49,,0.01,89,6
72423093821,2020-01-02T22:08:00,7,SE,50,0.01,,93,7
72423093821,2020-01-02T22:56:00,7,SE,51,0.01,,87,9
72423093821,2020-01-02T23:56:00,7,SE,50,0.01,,83,11
72423093821,2020-01-02T23:59:00,6,SE,,,,,
72423093821,2020-01-03T00:56:00,7,SE,50,T,0,87,10
72423093821,2020-01-03T01:00:00,4,SE,50,,0,87,10
72423093821,2020-01-03T01:56:00,7,SE,49,0.02,,86,7
72423093821,2020-01-03T02:56:00,7,SE,49,0.02,,86,7
72423093821,2020-01-03T03:08:00,7,SE,50,T,,89,6
72423093821,2020-01-03T03:56:00,7,SE,50,0.02,0,87,5
72423093821,2020-01-03T04:00:00,4,SE,50,,0,87,5
72423093821,2020-01-03T04:56:00,7,SE,50,0.02,,89,8
72423093821,2020-01-03T05:56:00,7,SE,50,0.11,,89,6
72423093821,2020-01-03T06:43:00,7,SE,50,0.09,,89,5
72423093821,2020-01-03T06:47:00,7,SE,50,0.1,,89,5
72423093821,2020-01-03T06:56:00,7,SE,50,0.1,-0.05,89,5
72423093821,2020-01-03T07:00:00,4,SE,50,,-0.05,89,5
72423093821,2020-01-03T07:40:00,7,SE,50,0.06,,89,0
72423093821,2020-01-03T07:49:00,7,SE,50,0.07,,89,0
72423093821,2020-01-03T07:56:00,7,SE,50,0.08,,89,3
72423093821,2020-01-03T08:10:00,7,SE,50,0.02,,89,3
72423093821,2020-01-03T08:56:00,7,SE,50,0.04,,93,5
72423093821,2020-01-03T08:59:00,7,SE,50,T,,93,5
72423093821,2020-01-03T09:09:00,7,SE,50,T,,93,6
72423093821,2020-01-03T09:26:00,7,SE,50,0.01,,89,3
72423093821,2020-01-03T09:56:00,7,SE,51,0.01,-0.04,93,9
72423093821,2020-01-03T10:00:00,4,SE,51,,-0.04,93,9
72423093821,2020-01-03T10:56:00,7,SE,51,T,,90,5
72423093821,2020-01-03T11:56:00,7,SE,51,T,,87,3
72423093821,2020-01-03T12:13:00,7,SE,52,T,,90,3
72423093821,2020-01-03T12:26:00,7,SE,52,T,,90,5
72423093821,2020-01-03T12:56:00,7,SE,52,T,0.07,87,5
72423093821,2020-01-03T13:00:00,4,SE,52,,0.07,87,5
72423093821,2020-01-03T13:43:00,7,SE,53,0.01,,93,3
72423093821,2020-01-03T13:56:00,7,SE,53,0.03,,93,3
72423093821,2020-01-03T14:07:00,7,SE,53,0.01,,93,3
72423093821,2020-01-03T14:11:00,7,SE,53,0.01,,93,5
72423093821,2020-01-03T14:26:00,7,SE,53,0.02,,93,6
72423093821,2020-01-03T14:56:00,7,SE,53,0.04,,93,5
72423093821,2020-01-03T15:35:00,7,SE,53,0.01,,93,7
72423093821,2020-01-03T15:56:00,7,SE,53,0.02,0.01,93,5
72423093821,2020-01-03T16:00:00,4,SE,53,,0.01,93,5
72423093821,2020-01-03T16:13:00,7,SE,53,0.01,,93,3
72423093821,2020-01-03T16:26:00,7,SE,53,0.01,,93,5
72423093821,2020-01-03T16:34:00,7,SE,53,0.01,,93,6
72423093821,2020-01-03T16:50:00,7,SE,54,0.02,,94,6
72423093821,2020-01-03T16:56:00,7,SE,53,0.03,,93,5
72423093821,2020-01-03T17:13:00,7,SE,53,0.01,,93,5
72423093821,2020-01-03T17:38:00,7,SE,53,0.03,,93,3
72423093821,2020-01-03T17:48:00,7,SE,53,0.05,,93,0
72423093821,2020-01-03T17:56:00,7,SE,53,0.05,,93,0
72423093821,2020-01-03T18:03:00,7,SE,53,0.02,,93,0
72423093821,2020-01-03T18:29:00,7,SE,51,0.08,,90,13
72423093821,2020-01-03T18:40:00,7,SE,51,0.08,,93,10
72423093821,2020-01-03T18:56:00,7,SE,50,0.09,-0.03,89,11
72423093821,2020-01-03T19:00:00,4,SE,50,,-0.03,89,11
72423093821,2020-01-03T19:07:00,7,SE,50,0.02,,89,10
72423093821,2020-01-03T19:27:00,7,SE,49,0.02,,89,9
72423093821,2020-01-03T19:56:00,7,SE,49,0.02,,89,7
72423093821,2020-01-03T20:05:00,7,SE,49,,,89,6
72423093821,2020-01-03T20:26:00,7,SE,48,T,,86,7
72423093821,2020-01-03T20:56:00,7,SE,48,T,,86,8
72423093821,2020-01-03T21:11:00,7,SE,48,,,86,7
72423093821,2020-01-03T21:56:00,7,SE,48,0,-0.05,89,7
72423093821,2020-01-03T22:00:00,4,SE,48,,-0.05,89,7
72423093821,2020-01-03T22:33:00,7,SE,47,,,86,6
72423093821,2020-01-03T22:56:00,7,SE,47,0,,86,7
72423093821,2020-01-03T23:27:00,7,SE,47,T,,86,5
72423093821,2020-01-03T23:56:00,7,SE,46,T,,86,11
72423093821,2020-01-03T23:59:00,6,SE,,,,,
72423093821,2020-01-04T00:11:00,7,SE,45,,,83,11
72423093821,2020-01-04T00:35:00,7,SE,45,T,,83,10
72423093821,2020-01-04T00:56:00,7,SE,45,T,-0.01,86,9
72423093821,2020-01-04T01:00:00,4,SE,45,,0.01,86,9
